Word,Plural
pointlessness,pointlessnesses
fundus,fundi
orthopaedics,orthopaedics
pneumocystis,
viscountess,viscountesses
sleeplessness,sleeplessnesses
sourness,sournesses
brittleness,brittlenesses
pervasiveness,
thoughtlessness,
cess,cesses
lawfulness,lawfulnesses
shabbiness,shabbinesses
tear-gas,tear-gases
teargas,teargases
rickets,
elevenses,elevenses
aloneness,alonenesses
letterpress,letterpresses
fastness,fastnesses
mimesis,mimeses
actus,acti
cassis,cassises
haemostasis,haemostases
homeostasis,homeostases
falseness,falsenesses
wilfulness,
negus,neguses
proteus,protei
tonsillitis,tonsillitides
morphogenesis,morphogeneses
cantharus,canthari
citrus,citruses
aureus,aurei
plumpness,plumpnesses
exactness,exactnesses
weightlessness,weightlessnesses
shamus,shamuses
mitosis,mitoses
grossness,grossnesses
pleasantness,pleasantnesses
seamstress,seamstresses
fruitfulness,fruitfulnesses
pastis,pastises
meekness,meeknesses
indecisiveness,indecisivenesses
thankfulness,thankfulnesses
astuteness,astutenesses
evenness,evennesses
backstairs,
amess,amesses
impulsiveness,impulsivenesses
pinus,pinuses
deadness,deadnesses
turps,
telesis,
sapiens,sapiens
rawness,rawnesses
pes,pedes
graciousness,graciousnesses
methanogenesis,
psycholinguistics,
eurythmics,
gneiss,gneisses
deviousness,deviousnesses
poetess,poetesses
microeconomics,
atmospherics,
agrostis,agrostises
giddiness,giddinesses
connectedness,connectednesses
pertussis,pertusses
nightclothes,
looseness,loosenesses
brashness,brashnesses
sacredness,sacrednesses
dreariness,drearinesses
rhinitis,rhinitides
rhombus,rhombi
coyness,coynesses
sluggishness,sluggishnesses
stuffiness,stuffinesses
halitosis,halitoses
drabness,drabnesses
yonks,
triceps,triceps
tamas,
brontosaurus,brontosauruses
strictness,strictnesses
landmass,landmasses
amanuensis,amanuenses
obviousness,obviousnesses
trustworthiness,
ficus,ficuses
kinematics,
thalamus,thalami
polyneuritis,polyneuritides
microdialysis,microdialyses
epos,
forensics,
unworthiness,unworthinesses
definiteness,definitenesses
cunnilingus,cunnilinguses
earlies,
rictus,rictuses
pseudomonas,pseudomonades
grampus,grampuses
schoolmistress,schoolmistresses
tarsus,tarsi
clearness,clearnesses
egress,egresses
motocross,motocrosses
baculovirus,baculoviruses
hoss,hosses
osteoarthritis,osteoarthritides
mirabilis,mirabilises
classlessness,
riskiness,riskinesses
ileitis,ileitides
mindedness,mindednesses
forcefulness,forcefulnesses
bathos,
sundress,sundresses
retinitis,
bloody-mindedness,
coitus,coituses
shepherdess,
singleness,singlenesses
coveralls,
chilliness,chillinesses
sexiness,sexinesses
amplexus,
alumnus,
skewness,skewnesses
hypobiosis,
francais,
streptococcus,streptococci
pais,
smartness,smartnesses
faintness,faintnesses
deerness,
receptiveness,receptivenesses
deftness,deftnesses
promptness,promptnesses
aimlessness,aimlessnesses
vicus,vici
wholesomeness,wholesomenesses
criss-cross,criss-crosses
postmistress,postmistresses
polyanthus,polyanthuses
edginess,edginesses
waywardness,waywardnesses
asbestosis,asbestoses
authoress,authoresses
ignoramus,ignoramuses
inwardness,inwardnesses
unselfishness,unselfishnesses
progressiveness,
beastliness,beastlinesses
precariousness,
digitalis,digitalises
rashness,rashnesses
selflessness,selflessnesses
ichthus,ichthuses
knowingness,knowingnesses
humanness,humannesses
schistosomiasis,schistosomiases
acquisitiveness,acquisitivenesses
porteous,porteouses
